Country of Origin,Number of Bags,Bag Weight,Aroma,Flavor,Aftertaste,Acidity,Balance,Sweetness,Moisture Percentage,Color,Category Two Defects
Colombia,1,35 kg,8.58,8.5,8.42,8.58,8.42,10,11.8,green,3
Taiwan,1,80 kg,8.5,8.5,7.92,8,8.25,10,10.5,blue-green,0
Laos,19,25 kg,8.33,8.42,8.08,8.17,8.17,10,10.4,yellowish,2
Costa Rica,1,22 kg,8.08,8.17,8.17,8.25,8.08,10,11.8,green,0
Colombia,2,24 kg,8.33,8.33,8.08,8.25,7.92,10,11.6,yellow-green,2
Guatemala,5,30 kg,8.33,8.33,8.25,7.83,8.17,10,10.7,green,2
Taiwan,1,27 kg,8.33,8.17,8.08,8,8.25,10,9.1,green,0
Taiwan,1,90 kg,8.25,8.25,8.17,8,8.08,10,10,yellow green,1
Taiwan,1,30 kg,8.08,8.08,8.25,8.08,8,10,10.8,greenish,0
"Tanzania, United Republic Of",320,60 kg,8.08,8.17,8.08,8.17,8,10,11,greenish,0
Ethiopia,10,30 kg,8.08,8.25,8,8.08,7.92,10,11.8,greenish,1
Guatemala,5,15 kg,8.08,8,8,7.75,8.17,10,11.5,brownish,1
Taiwan,1,60 kg,8.08,8,8.08,8.08,8,10,11.9,green,0
Ethiopia,40,60 kg,7.67,8.17,8,8.33,8,10,11.6,yellow- green,2
Colombia,70,35 kg,8.08,8,8.08,7.92,8,10,10.6,green,0
Taiwan,1,60 kg,8.17,8.08,8,7.92,7.92,10,10.2,green,0
Ethiopia,8,5 kg,8.17,8.08,7.92,8.17,7.92,10,11.3,green,2
Taiwan,5,2 kg,8,8.17,8,7.92,7.92,10,10.3,yellow-green,0
Taiwan,8,1 kg,8.08,8.17,7.75,7.92,8,10,11,brownish,1
"Tanzania, United Republic Of",200,30 kg,8.17,8,7.92,7.92,7.75,10,10,greenish,0
Guatemala,8,30 kg,8,7.92,8.08,7.92,8,10,11.6,yellowish,0
Taiwan,1,20 kg,8.08,8,7.92,7.92,7.83,10,10.4,green,0
Thailand,2,1 kg,7.67,8,7.83,8,8,10,9.8,browish-green,5
Colombia,6,5 kg,8.08,8,7.83,8.17,7.83,10,11.3,brownish,2
Taiwan,4,50 kg,7.83,8,7.92,8,7.92,10,10.6,bluish-green,0
Brazil,25,60 kg,7.83,8.08,7.83,7.92,7.83,10,11.3,green,3
Taiwan,1,100 kg,7.92,7.92,8,7.92,7.92,10,9.1,green,2
Taiwan,1,90 kg,8.17,8.08,7.92,8,7.83,10,10.6,green,0
Taiwan,1,85 kg,8,8,8,7.92,7.92,10,10.2,blue-green,0
United States (Hawaii),80,15 kg,8,7.92,8,7.83,8,10,9.3,green,0
Taiwan,3,48 kg,8,8,7.83,7.83,7.92,10,11.4,bluish-green,0
Taiwan,3,50 kg,7.92,8,7.83,7.92,7.83,10,10.8,green,0
Taiwan,4,5 kg,8.08,8.17,7.67,7.83,7.92,10,11.3,green,0
Ethiopia,320,60 kg,7.67,7.83,7.83,8,8,10,9.9,green,3
