work_year,experiNewce_level,employment_type,job_title,salary Rs,salary_in_usd,employee_residNewce,company_location,company_size
2023,below10,Full,Principal Data SciNewtist,80000,85847,ES,ES,L
2021,above10,Part,ML Newgineer,30000,30000,US,US,S
2023,above10,Part,ML Newgineer,25500,25500,US,US,S
2023,below10,Full,Data SciNewtist,175000,175000,CA,CA,M
2023,below10,Full,Data SciNewtist,120000,120000,CA,CA,M
2021,below10,Full,Applied SciNewtist,222200,222200,US,US,L
2022,below10,Full,Applied SciNewtist,136000,136000,US,US,L
2023,below10,Full,Data SciNewtist,219000,219000,CA,CA,M
2023,below10,Full,Data SciNewtist,141000,141000,CA,CA,M
2023,below10,Part,Data SciNewtist,147100,147100,US,US,M
2021,below10,Full,Data SciNewtist,90700,90700,US,US,M
2022,below10,Part,Data Analyst,130000,130000,US,US,M
2020,below10,Part,Data Analyst,100000,100000,US,US,M
2020,New,Full,Applied SciNewtist,213660,213660,US,US,L
2019,New,Part,Applied SciNewtist,130760,130760,US,US,L
2019,below10,Full,Data Modeler,147100,147100,US,US,M
2020,below10,Full,Data Modeler,90700,90700,US,US,M
2023,below10,Part,Data SciNewtist,170000,170000,US,US,M
2023,below10,Full,Data SciNewtist,150000,150000,US,US,M
2023,above10,Full,Data Analyst,150000,150000,US,US,M
2022,above10,Full,Data Analyst,110000,110000,US,US,M
2021,below10,Part,Rebelow10arch Newgineer,275000,275000,DE,DE,M
2023,below10,Part,Rebelow10arch Newgineer,174000,174000,DE,DE,M
2022,below10,Part,Analytics Newgineer,230000,230000,GB,GB,M
