Price,Age,KM,FuelType,HP,Weight
13500,23,46986,Diesel,90,1165
13750,23,72937,Diesel,90,1165
13950,24,41711,Diesel,90,1165
14950,26,48000,Diesel,90,1165
13750,30,38500,Diesel,90,1170
12950,32,61000,Diesel,90,1170
16900,27,4522,Diesel,56,1245
18600,30,75889,Diesel,90,1245
21500,27,19700,Petrol,192,1185
12950,23,71138,Diesel,43,1105
20950,25,31461,Petrol,192,1185
19950,22,43610,Petrol,192,1185
19600,25,32189,Petrol,192,1185
21500,31,23000,Petrol,192,1185
22500,32,34131,Petrol,192,1185
22000,28,18739,Petrol,56,1185
22750,30,34000,Petrol,192,1185
17950,24,21716,Petrol,110,1105
16750,24,25563,Petrol,110,1065
16950,30,64359,Petrol,110,1105
15950,30,67660,Petrol,110,1105
16950,29,43905,Petrol,110,1170
15950,28,56349,Petrol,110,1120
16950,28,32220,Petrol,110,1120
16250,29,25813,Petrol,110,1120
15950,25,28450,Petrol,110,1120
17495,27,34545,Diesel,110,1120
15750,29,41415,Petrol,110,1120
16950,28,44142,Petrol,110,1120
