Year,Manufacturer,Model,drive,fuelType
2017,BMW,M6 Coupe,Rear-Wheel Drive,Premium
2017,BMW,X3 sDrive28i,Rear-Wheel Drive,Premium
2016,Infiniti,Q50S Red Sport,Rear-Wheel Drive,Premium
2017,MINI,John Cooper Works Convertible,Front-Wheel Drive,Premium
2017,Kia,Sedona SX,Front-Wheel Drive,Regular
2017,Kia,Sedona SXL,Front-Wheel Drive,Regular
2017,Ford,Escape FWD,Front-Wheel Drive,Regular
1987,GMC,R15 Pickup 2WD,Rear-Wheel Drive,Regular
2017,Lincoln,MKC AWD,All-Wheel Drive,Regular
2016,GMC,Sierra 15 Hybrid 4WD,4-Wheel Drive,Regular
2017,BMW,650i xDrive Convertible,All-Wheel Drive,Premium
2017,Maserati,GranTurismo,Rear-Wheel Drive,Premium
2017,Ford,Fusion FWD,Front-Wheel Drive,Regular
2017,Kia,Sorento FWD,Front-Wheel Drive,Regular
2017,Kia,Sorento AWD,All-Wheel Drive,Regular
2017,GMC,Acadia FWD,Front-Wheel Drive,Regular
1987,GMC,R15 Pickup 2WD,Rear-Wheel Drive,Diesel
2017,Kia,Rio,Front-Wheel Drive,Regular
2017,Porsche,Cayenne S,All-Wheel Drive,Premium
2016,Infiniti,Q50 AWD,All-Wheel Drive,Premium
2016,Tesla,Model S (75 kW-hr battery pack),Rear-Wheel Drive,Electricity
1987,GMC,R25 Pickup 2WD,Rear-Wheel Drive,Regular
2017,Subaru,Legacy AWD,All-Wheel Drive,Regular
2017,Hyundai,Sonata,Front-Wheel Drive,Regular
1987,GMC,R25 Pickup 2WD,Rear-Wheel Drive,Regular
2017,Subaru,Forester AWD,All-Wheel Drive,Regular
